t_s,pkts,lost,loss_pct,mbps,delay_avg_ms,delay_max_ms,gap_max_ms,reorder,dup,bad
1,0,0,0.000,0.000,0.00,0,0,0,0,0
2,0,0,0.000,0.000,0.00,0,0,0,0,0
3,0,0,0.000,0.000,0.00,0,0,0,0,0
4,0,0,0.000,0.000,0.00,0,0,0,0,0
5,0,0,0.000,0.000,0.00,0,0,0,0,1
6,0,0,0.000,0.000,0.00,0,0,0,0,0
7,0,0,0.000,0.000,0.00,0,0,0,0,0
8,121,0,0.000,1.387,0.63,3,2760,0,0,0
9,168,0,0.000,1.945,1.29,6,11,0,0,0
10,167,0,0.000,1.933,1.24,6,11,0,0,0
11,169,0,0.000,1.945,0.93,5,10,0,0,0
12,169,0,0.000,1.949,0.85,6,12,0,0,0
13,169,0,0.000,1.939,1.10,7,13,0,0,0
14,170,0,0.000,1.945,0.92,7,12,0,0,0
15,169,0,0.000,1.943,0.75,6,12,0,0,0
16,168,0,0.000,1.945,0.74,7,13,0,0,0
17,169,0,0.000,1.945,0.47,4,10,0,0,1
18,170,0,0.000,1.943,0.70,6,12,0,0,0
19,168,0,0.000,1.949,0.66,5,11,0,0,0
20,302,0,0.000,3.486,0.65,11,25,0,0,0
21,337,0,0.000,3.886,0.26,5,8,0,0,0
22,336,0,0.000,3.886,0.30,5,8,0,0,0
23,339,0,0.000,3.890,0.27,7,10,0,0,0
24,336,0,0.000,3.886,0.25,6,9,0,0,0
25,336,0,0.000,3.890,0.28,5,8,0,0,0
26,336,0,0.000,3.886,0.14,5,8,0,0,0
27,336,0,0.000,3.882,0.14,5,8,0,0,0
28,335,0,0.000,3.882,0.16,4,7,0,0,0
29,338,0,0.000,3.897,0.14,3,6,0,0,0
30,336,0,0.000,3.878,0.16,6,9,0,0,0
31,337,0,0.000,3.894,0.12,4,7,0,0,0
32,406,0,0.000,4.691,1.28,14,22,0,0,0
33,420,0,0.000,4.853,0.82,4,5,0,0,0
34,422,0,0.000,4.866,0.68,6,7,0,0,0
35,420,0,0.000,4.857,0.34,4,7,0,0,0
36,422,0,0.000,4.861,0.26,10,12,0,0,0
37,419,0,0.000,4.860,0.24,3,6,0,0,0
38,419,0,0.000,4.860,0.21,3,6,0,0,0
39,420,0,0.000,4.857,0.24,4,7,0,0,0
40,421,0,0.000,4.859,0.24,5,7,0,0,0
41,419,0,0.000,4.856,0.22,3,5,0,0,0
42,420,0,0.000,4.868,0.27,4,7,0,0,1
43,420,0,0.000,4.857,0.20,3,5,0,0,0
44,478,0,0.000,5.539,17.18,23,24,0,0,0
45,500,0,0.000,5.794,25.64,32,7,0,0,0
46,500,0,0.000,5.794,32.11,37,7,0,0,0
47,500,0,0.000,5.794,38.66,45,7,0,0,0
48,500,0,0.000,5.794,45.14,49,7,0,0,0
49,500,0,0.000,5.794,51.59,58,7,0,0,0
50,502,0,0.000,5.794,58.13,66,7,0,0,0
51,500,0,0.000,5.794,64.61,71,7,0,0,0
52,500,0,0.000,5.794,71.13,78,6,0,0,0
53,500,0,0.000,5.794,77.66,82,8,0,0,0
54,501,0,0.000,5.794,84.16,91,7,0,0,0
55,500,3,0.596,5.794,87.09,89,4,0,0,0
56,499,72,12.609,5.788,77.44,89,5,0,0,0
57,501,88,14.941,5.800,74.95,80,7,0,0,0
58,500,87,14.821,5.788,74.49,79,7,0,0,0
59,500,86,14.676,5.800,74.49,81,9,0,0,0
60,500,88,14.966,5.794,74.44,81,9,0,0,0
61,499,87,14.846,5.783,74.31,79,8,0,0,0
62,502,88,14.915,5.800,74.24,80,8,0,0,0
63,503,87,14.746,5.794,74.30,83,10,0,0,0
64,500,88,14.966,5.788,74.15,78,6,0,0,0
65,501,87,14.796,5.794,74.17,79,7,0,0,1
66,500,87,14.821,5.794,74.25,79,6,0,0,0
67,500,88,14.966,5.795,74.22,80,7,0,0,1
68,501,156,23.744,5.783,66.87,78,6,0,0,0
69,500,172,25.595,5.794,65.14,69,6,0,0,0
70,502,171,25.409,5.794,65.09,70,6,0,0,0
71,500,172,25.595,5.788,65.10,70,7,0,0,0
72,500,171,25.484,5.788,65.07,69,5,0,0,0
73,500,171,25.484,5.794,65.09,70,7,0,0,0
74,500,172,25.595,5.788,65.16,72,9,0,0,0
75,501,171,25.446,5.794,65.06,71,7,0,0,0
76,501,171,25.446,5.794,65.01,70,7,0,0,0
77,500,172,25.595,5.788,65.06,70,7,0,0,0
78,503,171,25.371,5.800,65.07,69,6,0,0,0
79,500,171,25.484,5.800,65.04,70,7,0,0,0
