t_s,pkts,lost,loss_pct,mbps,delay_avg_ms,delay_max_ms,gap_max_ms,reorder,dup,bad
1,0,0,0.000,0.000,0.00,0,0,0,0,0
2,0,0,0.000,0.000,0.00,0,0,0,0,0
3,0,0,0.000,0.000,0.00,0,0,0,0,0
4,0,0,0.000,0.000,0.00,0,0,0,0,0
5,0,0,0.000,0.000,0.00,0,0,0,0,0
6,0,0,0.000,0.000,0.00,0,0,0,0,0
7,0,0,0.000,0.000,0.00,0,0,0,0,0
8,153,0,0.000,1.758,0.37,3,8,0,0,1
9,169,0,0.000,1.945,0.46,6,12,0,0,0
10,168,0,0.000,1.945,0.38,4,10,0,0,0
11,172,0,0.000,1.945,0.40,8,14,0,0,0
12,168,0,0.000,1.941,0.35,3,9,0,0,0
13,169,0,0.000,1.949,0.38,4,10,0,0,0
14,169,0,0.000,1.943,0.37,3,9,0,0,0
15,168,0,0.000,1.939,0.27,4,10,0,0,0
16,170,0,0.000,1.945,0.22,5,11,0,0,0
17,170,0,0.000,1.947,0.24,2,8,0,0,0
18,168,0,0.000,1.945,0.18,2,8,0,0,0
19,171,0,0.000,1.943,0.17,3,9,0,0,0
20,168,0,0.000,1.943,0.18,5,10,0,0,0
21,172,0,0.000,1.943,0.12,3,9,0,0,0
22,172,0,0.000,1.943,0.77,4,9,0,0,0
23,182,0,0.000,2.109,2.31,15,21,25,0,0
24,422,0,0.000,4.890,0.70,9,5,422,0,0
25,421,0,0.000,4.869,0.29,3,6,421,0,0
26,419,0,0.000,4.856,0.26,4,7,419,0,0
27,421,0,0.000,4.864,0.16,2,5,421,0,0
28,419,0,0.000,4.856,0.24,5,7,419,0,0
29,421,0,0.000,4.859,0.22,5,6,421,0,0
30,420,0,0.000,4.862,0.18,3,5,135,1,0
31,420,0,0.000,4.857,0.19,4,6,0,0,0
32,421,0,0.000,4.850,0.18,4,6,0,0,0
33,422,0,0.000,4.871,0.18,4,6,0,0,1
34,420,0,0.000,4.862,0.17,3,5,0,0,0
35,419,0,0.000,4.856,0.17,4,7,0,0,0
36,420,0,0.000,4.862,0.38,16,19,0,0,0
37,423,0,0.000,4.858,0.20,6,9,0,0,0
38,419,0,0.000,4.856,0.14,3,6,0,0,0
39,421,0,0.000,4.864,3.26,42,22,48,0,0
40,502,0,0.000,5.800,64.83,68,3,502,0,1
41,500,0,0.000,5.794,65.93,68,4,500,0,0
42,501,0,0.000,5.794,65.93,68,4,501,0,0
43,500,0,0.000,5.794,65.94,71,7,500,0,0
44,502,0,0.000,5.794,65.95,70,5,502,0,0
45,500,0,0.000,5.794,65.93,69,5,500,0,0
46,500,0,0.000,5.788,65.75,68,4,500,0,0
47,501,0,0.000,5.800,65.52,68,4,501,0,0
48,500,0,0.000,5.788,65.12,71,7,500,0,0
49,500,11,2.153,5.794,65.04,68,5,466,0,0
50,500,171,25.484,5.794,65.04,67,4,0,0,0
51,502,171,25.409,5.794,65.06,68,6,0,0,0
52,501,171,25.446,5.794,65.02,68,4,0,0,0
53,499,171,25.522,5.783,65.04,68,5,0,0,0
54,501,171,25.446,5.806,65.05,69,4,0,0,0
55,501,123,19.712,5.788,62.70,71,5,46,0,0
56,505,0,0.000,5.800,43.89,47,5,505,0,0
57,500,0,0.000,5.794,43.88,45,3,500,0,0
58,503,0,0.000,5.795,43.89,46,4,503,0,1
59,250,0,0.000,2.891,43.86,45,3,250,0,0
60,0,0,0.000,0.000,0.00,0,0,0,0,0
61,0,0,0.000,0.000,0.00,0,0,0,0,0
62,0,0,0.000,0.000,0.00,0,0,0,0,0
63,0,0,0.000,0.000,0.00,0,0,0,0,0
64,0,0,0.000,0.000,0.00,0,0,0,0,0
65,0,0,0.000,0.000,0.00,0,0,0,0,0
66,0,0,0.000,0.000,0.00,0,0,0,0,0
67,0,0,0.000,0.000,0.00,0,0,0,0,0
68,0,0,0.000,0.000,0.00,0,0,0,0,0
69,0,0,0.000,0.000,0.00,0,0,0,0,0
70,0,0,0.000,0.000,0.00,0,0,0,0,0
71,0,0,0.000,0.000,0.00,0,0,0,0,0
72,0,0,0.000,0.000,0.00,0,0,0,0,0
73,0,0,0.000,0.000,0.00,0,0,0,0,0
74,0,0,0.000,0.000,0.00,0,0,0,0,0
75,0,0,0.000,0.000,0.00,0,0,0,0,0
77,0,0,0.000,0.000,0.00,0,0,0,0,0
78,0,0,0.000,0.000,0.00,0,0,0,0,0
79,0,0,0.000,0.000,0.00,0,0,0,0,0
80,0,0,0.000,0.000,0.00,0,0,0,0,0
