t_s,pkts,frames,mbps,fps,avg_frame_b,max_frame_b,gap_max_ms
1,91,20,0.900,19.98,5628,6875,59
2,27,11,0.247,11.00,2805,7294,879
3,119,26,1.276,25.92,6154,6931,67
4,125,26,1.331,25.72,6300,6934,67
5,123,26,1.274,25.97,6073,6942,59
6,122,27,1.203,27.00,5787,6892,61
7,120,25,1.189,24.83,5751,6910,63
8,122,27,1.192,26.73,5789,6769,69
9,121,26,1.196,25.92,5769,6756,63
10,123,26,1.210,25.72,5770,6863,62
11,122,26,1.210,25.95,5772,6901,65
12,122,26,1.212,26.00,5771,6837,61
13,122,27,1.202,26.97,5787,6876,64
14,119,25,1.196,24.98,5750,6855,62
15,121,26,1.198,25.95,5771,6586,73
16,122,27,1.189,26.68,5787,6586,68
17,122,26,1.198,25.72,5769,6888,69
18,122,26,1.206,25.87,5772,6586,64
19,122,26,1.212,26.00,5769,6650,62
20,121,26,1.199,25.97,5769,6616,63
21,123,27,1.214,26.97,5789,6679,61
22,121,26,1.196,25.92,5770,6666,62
23,121,26,1.199,25.97,5770,6638,62
24,121,26,1.186,25.69,5770,6697,61
25,121,26,1.190,25.79,5769,6861,61
26,121,26,1.209,25.95,5770,6883,65
27,120,26,1.200,26.00,5770,6917,63
28,122,26,1.202,25.79,5771,6703,67
29,124,27,1.220,26.84,5788,6761,65
30,121,26,1.195,25.90,5770,6642,69
31,121,26,1.184,25.67,5769,6706,66
32,123,26,1.217,25.84,5772,6705,62
33,122,26,1.212,26.00,5770,6662,60
34,121,26,1.199,25.97,5770,6705,63
35,123,27,1.213,26.95,5790,6639,62
36,119,25,1.184,24.98,5748,6647,62
37,123,27,1.198,26.63,5787,6622,63
38,121,26,1.191,25.79,5771,6660,62
39,123,26,1.219,25.90,5770,6618,62
40,120,26,1.200,26.00,5770,6923,58
41,14,5,0.117,4.97,3515,6217,68
42,0,0,0.000,0.00,0,0,0
43,0,0,0.000,0.00,0,0,0
44,0,0,0.000,0.00,0,0,0
45,0,0,0.000,0.00,0,0,0
46,0,0,0.000,0.00,0,0,0
47,0,0,0.000,0.00,0,0,0
48,10,3,0.089,2.92,3813,6099,7916
49,121,26,1.189,25.74,5771,6620,62
50,121,26,1.189,25.77,5765,6594,62
51,121,26,1.198,25.95,5773,6664,61
52,121,26,1.191,25.77,5775,6641,63
53,120,26,1.190,25.79,5767,6852,64
54,122,26,1.206,25.87,5773,6604,63
55,124,26,1.232,25.92,5770,6605,65
56,122,27,1.185,26.65,5775,6862,63
57,120,26,1.190,25.82,5762,6894,64
58,120,26,1.197,25.92,5770,6873,65
59,122,26,1.197,25.67,5776,6901,62
60,125,27,1.246,26.97,5827,6904,63
61,121,26,1.198,25.97,5767,6615,61
62,121,26,1.186,25.69,5769,6616,61
63,120,26,1.194,25.92,5759,6888,62
64,121,26,1.197,25.92,5772,6843,62
65,120,26,1.193,25.87,5765,6897,63
66,125,26,1.242,25.84,5782,6898,62
67,120,26,1.189,26.00,5773,6733,62
68,122,26,1.209,25.97,5760,6882,63
69,119,26,1.185,25.97,5760,6871,61
70,123,27,1.215,26.84,5822,6933,63
71,121,26,1.195,25.90,5768,6918,63
72,121,26,1.187,25.72,5772,6612,61
73,125,26,1.233,25.72,5771,6919,61
74,121,27,1.202,26.97,5786,6907,67
75,119,25,1.196,25.00,5747,6903,65
76,122,27,1.188,26.63,5793,6859,64
77,120,26,1.183,25.64,5766,6887,63
78,123,26,1.219,25.90,5773,6937,63
79,123,27,1.224,26.95,5786,6861,61
80,121,26,1.200,26.00,5771,6823,64
81,116,25,1.158,24.93,5750,6913,61
82,125,27,1.231,26.84,5786,6921,61
83,120,26,1.198,25.95,5771,6852,64
84,121,26,1.184,25.67,5766,6853,60
85,123,26,1.220,25.90,5776,6892,69
86,121,26,1.198,25.97,5766,6930,61
87,123,26,1.221,25.95,5769,6891,64
88,122,27,1.190,26.68,5793,6872,61
89,121,26,1.199,25.97,5770,6843,61
