t_s,pkts,frames,mbps,fps,avg_frame_b,max_frame_b,gap_max_ms
1,0,0,0.000,0.00,0,0,0
2,49,12,0.492,11.89,5170,30263,63
3,122,26,1.218,25.79,5791,6767,69
4,122,26,1.220,25.92,5769,6640,68
5,121,27,1.202,26.97,5786,6620,69
6,120,26,1.200,25.97,5773,6628,71
7,120,26,1.185,25.67,5771,6629,65
8,120,26,1.192,25.84,5766,6678,68
9,122,26,1.206,25.87,5771,6584,68
10,124,26,1.222,25.74,5768,6529,73
11,120,26,1.200,25.97,5773,6677,61
12,121,27,1.190,26.71,5787,6697,60
13,120,26,1.190,25.77,5772,6656,64
14,124,26,1.234,25.74,5766,6724,62
15,121,27,1.203,26.97,5790,6749,76
16,120,26,1.192,25.82,5771,6688,63
17,120,26,1.184,25.64,5770,6642,63
18,120,26,1.186,25.69,5772,6651,63
19,125,27,1.247,26.95,5786,6688,64
20,120,26,1.199,25.97,5771,6676,62
21,120,26,1.194,25.87,5768,6666,62
22,120,26,1.199,25.97,5772,6674,63
23,120,26,1.196,25.92,5769,6639,64
24,120,26,1.193,25.84,5769,6713,62
25,121,26,1.191,25.79,5771,6636,71
26,120,26,1.185,25.67,5769,6711,62
27,125,27,1.237,26.73,5786,6675,62
28,121,26,1.183,25.62,5772,6628,63
29,120,26,1.200,26.00,5768,6668,65
30,120,26,1.196,25.90,5771,6677,64
31,120,26,1.187,25.72,5772,6643,62
32,120,26,1.192,25.82,5770,6668,61
33,121,26,1.194,25.87,5769,6612,59
34,125,27,1.243,26.84,5788,6661,63
35,120,26,1.191,25.79,5772,6660,60
36,120,26,1.184,25.64,5770,6625,61
37,121,26,1.208,25.92,5769,6908,60
38,120,26,1.199,25.97,5770,6915,61
39,120,26,1.199,25.97,5769,6939,58
40,121,26,1.211,25.97,5772,6937,58
41,121,26,1.209,25.95,5770,6966,61
42,121,26,1.210,25.97,5768,6904,62
43,120,26,1.199,25.97,5771,6952,59
44,121,27,1.189,26.68,5786,6909,62
45,120,26,1.200,25.97,5774,6943,67
46,120,26,1.195,25.90,5769,6912,68
47,121,26,1.199,25.74,5768,6975,70
48,121,26,1.212,26.00,5772,6951,65
49,119,26,1.188,25.97,5771,6931,69
50,121,26,1.209,25.95,5769,6917,68
51,122,26,1.221,25.95,5770,6948,69
52,120,26,1.200,26.00,5768,7000,60
53,121,27,1.185,26.57,5788,6971,65
54,120,26,1.192,25.84,5767,6893,63
55,120,26,1.196,25.90,5772,6960,63
56,121,26,1.208,25.92,5769,6935,63
57,120,26,1.199,25.97,5771,6938,61
58,120,26,1.199,25.97,5772,6960,62
59,122,26,1.222,25.97,5768,6910,63
