t_s,pkts,frames,mbps,fps,avg_frame_b,max_frame_b,gap_max_ms
1,6,5,0.025,4.96,340,897,34
2,132,26,1.343,25.67,6430,30384,66
3,121,26,1.208,25.92,5768,6973,64
4,122,27,1.201,26.92,5792,6908,63
5,120,26,1.197,25.95,5768,6679,63
6,120,26,1.189,25.74,5775,6936,67
7,120,26,1.197,25.95,5766,6776,66
8,120,26,1.182,25.62,5770,6900,71
9,120,26,1.199,25.97,5771,6929,59
10,125,27,1.237,26.71,5789,6988,64
11,120,26,1.199,25.97,5770,6802,61
12,120,26,1.195,25.90,5769,6942,63
13,120,26,1.200,26.00,5771,6964,62
14,120,26,1.184,25.64,5770,6915,63
15,121,26,1.191,25.79,5770,6573,62
16,120,26,1.193,25.84,5768,6934,61
17,120,26,1.193,25.84,5770,6938,67
18,125,27,1.235,26.68,5785,6916,64
19,120,26,1.195,25.87,5774,6632,61
20,120,26,1.196,25.92,5767,6705,62
21,120,26,1.190,25.77,5771,6689,63
22,120,26,1.185,25.67,5770,6763,62
23,122,26,1.220,25.92,5771,6711,61
24,123,27,1.223,26.92,5789,6700,62
25,120,26,1.200,26.00,5769,6628,60
26,120,26,1.182,25.62,5770,6685,62
27,120,26,1.186,25.69,5772,6742,61
28,121,26,1.211,25.97,5773,7017,61
29,122,26,1.210,25.97,5767,6886,66
30,120,26,1.195,25.90,5768,6714,66
31,124,27,1.213,26.68,5789,6655,69
32,121,26,1.192,25.82,5770,6684,65
33,121,26,1.196,25.92,5769,6709,68
34,124,26,1.232,25.69,5770,6992,60
35,121,27,1.192,26.76,5786,6663,70
36,121,26,1.183,25.62,5771,6853,67
37,120,26,1.198,25.97,5767,6627,61
38,22,6,0.211,5.92,3977,6333,71
39,0,0,0.000,0.00,0,0,0
40,0,0,0.000,0.00,0,0,0
41,0,0,0.000,0.00,0,0,0
42,0,0,0.000,0.00,0,0,0
43,0,0,0.000,0.00,0,0,0
44,0,0,0.000,0.00,0,0,0
